DEF_SUB,ppi_cost_score,ppi_quality_score,npi_cnt,epi_cnt,avg_saving
PPI_IOP_MJRLE_ANKLE,,,5,61,116.82537584
PPI_IOP_MJRLE_ANKLE,,,6,80,89.079349075
PPI_IOP_MJRLE_ANKLE,,1,7,118,173.17318747
PPI_IOP_MJRLE_ANKLE,,2,21,414,439.63169431
PPI_IOP_MJRLE_ANKLE,,3,26,477,345.0753724
PPI_IOP_MJRLE_ANKLE,,4,26,449,338.31739561
PPI_IOP_MJRLE_ANKLE,,5,12,324,264.93495787
PPI_IOP_MJRLE_ANKLE,1,,7,103,300.44493229
PPI_IOP_MJRLE_ANKLE,2,,24,479,464.2244872
PPI_IOP_MJRLE_ANKLE,3,,23,410,476.31034009
PPI_IOP_MJRLE_ANKLE,4,,28,501,292.33829762
PPI_IOP_MJRLE_ANKLE,5,,11,308,31.585270263
PPI_IOP_MJRLE_HIP,,,602,10387,986.51370317
PPI_IOP_MJRLE_HIP,,,602,10387,986.51370317
PPI_IOP_MJRLE_HIP,,1,1580,93424,1042.6530284
PPI_IOP_MJRLE_HIP,,2,1836,112517,754.77013564
PPI_IOP_MJRLE_HIP,,3,1814,122703,496.97123727
PPI_IOP_MJRLE_HIP,,4,1871,144510,368.17773632
PPI_IOP_MJRLE_HIP,,5,1918,185663,206.25753265
PPI_IOP_MJRLE_HIP,1,,1527,77034,1536.6644835
PPI_IOP_MJRLE_HIP,2,,1768,100283,833.024524
PPI_IOP_MJRLE_HIP,3,,1790,113152,510.6640223
PPI_IOP_MJRLE_HIP,4,,1894,140118,306.04144484
PPI_IOP_MJRLE_HIP,5,,2040,228230,141.23789938
PPI_IOP_MJRLE_KNEE,,,480,8413,759.05918381
PPI_IOP_MJRLE_KNEE,,,480,8413,759.05918381
PPI_IOP_MJRLE_KNEE,,1,1593,120111,695.94666107
PPI_IOP_MJRLE_KNEE,,2,1993,195035,442.84105671
PPI_IOP_MJRLE_KNEE,,3,2179,270041,282.6238767
PPI_IOP_MJRLE_KNEE,,4,2004,235877,210.92544644
PPI_IOP_MJRLE_KNEE,,5,1950,230829,175.59762993
PPI_IOP_MJRLE_KNEE,1,,1617,123165,1005.9016526
PPI_IOP_MJRLE_KNEE,2,,1928,176525,460.30174866
PPI_IOP_MJRLE_KNEE,3,,2017,221700,272.99504153
PPI_IOP_MJRLE_KNEE,4,,2042,224643,189.13796983
PPI_IOP_MJRLE_KNEE,5,,2115,305860,92.878150605
